Team		Record		Δ	Rat		Pwr		Off		Def		HFA	SoS		
Loyola-Chicago	Missouri Val	24-13	0.64865	+34	80	1.79969	112	29.8939	202	81.6986	75	20.903	3.31102	114	27.5198	
TCU	Big 12	18-15	0.54545	-15	81	1.79774	66	33.7431	101	85.513	74	20.9335	4.76027	72	31.507	
WI Green Bay	Horizon	24-9	0.72727	-2	82	1.79203	82	32.4065	160	83.3324	59	21.7804	4.02872	121	27.1077	
Tulsa	American Athletic	23-11	0.67647	-14	83	1.78247	94	31.1012	227	80.6047	36	23.2016	3.12656	100	28.8461	
California	Pac 12	18-15	0.54545	+6	84	1.77054	92	31.1464	134	84.418	97	19.4345	4.28737	63	32.3431	
Pittsburgh	Atlantic Coast	19-15	0.55882	+1	85	1.76747	84	31.77	124	84.7158	94	19.7582	3.56875	61	32.424	
UC Davis	Big West	25-7	0.78125	+1	86	1.76424	113	29.7253	108	85.2005	136	17.228	4.63801	184	24.7599	
Yale	Ivy League	22-10	0.6875	+1	87	1.763	73	32.8326	157	83.4293	53	22.1068	1.89431	141	26.2	
Kansas St	Big 12	15-17	0.46875	-11	88	1.75575	83	32.076	187	82.3519	47	22.4264	5.24176	31	34.0872	
UC Irvine	Big West	21-13	0.61765	-5	89	1.75441	81	32.4559	162	83.2825	56	21.8754	3.61557	118	27.272	
Auburn	Southeastern	15-20	0.42857	-11	90	1.75412	103	30.2464	49	89.0948	218	13.8527	2.3895	50	32.9945	
Connecticut	American Athletic	20-15	0.57143	-17	91	1.75233	80	32.5103	201	81.7307	31	23.4817	3.66804	85	30.325	
St Mary's CA	West Coast	21-10	0.67742	-22	92	1.73321	87	31.5447	123	84.7408	95	19.5053	2.4439	98	28.902	
E Washington	Big Sky	26-9	0.74286	-1	93	1.73242	121	29.1352	18	93.7084	322	8.13257	3.06514	218	23.7883	
Iona	Metro Atlantic	26-9	0.74286	+7	94	1.72793	116	29.5602	16	94.2006	323	8.06409	2.99425	156	25.5422	
UAB	Conference USA	20-16	0.55556	+14	95	1.71488	109	29.9952	96	85.7229	142	16.9759	4.49142	109	27.7874	
Boston College	Atlantic Coast	13-19	0.40625	+4	96	1.71447	93	31.1342	98	85.5842	113	18.2532	2.88999	39	33.6888	
Belmont	OH Valley	22-11	0.66667	+5	97	1.71252	125	28.7844	42	90.1877	270	11.3025	3.53566	163	25.3498	
Marquette	Big East	13-19	0.40625	-7	98	1.70774	88	31.4833	152	83.5345	80	20.6532	2.88807	26	34.4857	
Albany NY	America East	24-9	0.72727	-3	99	1.70219	129	28.5322	228	80.5813	79	20.6552	1.79178	233	23.3585	
S Dakota St	Summit Lg	24-11	0.68571	+29	100	1.70096	95	30.9657	63	87.895	173	15.7739	5.15073	179	24.8726	
Seton Hall	Big East	16-15	0.51613	-8	101	1.6979	100	30.3937	79	86.8239	159	16.2762	3.93999	52	32.9416	
Northeastern	Colonial	23-12	0.65714	-4	102	1.69455	101	30.299	128	84.5341	109	18.4697	1.02253	146	26.0079	
C Michigan	Mid-American	23-9	0.71875	-6	103	1.69282	102	30.2793	43	90.0605	243	12.9207	3.98784	204	24.2349	
Creighton	Big East	14-19	0.42424	-10	104	1.68986	72	33.049	92	85.8712	88	19.8837	3.19697	54	32.8443	
N Dakota St	Summit Lg	23-10	0.69697	+7	105	1.68908	144	27.5965	247	79.6266	78	20.6749	4.42043	228	23.5102	
St Bonaventure	Atlantic 10	18-13	0.58065	-7	106	1.68512	91	31.2437	127	84.5586	99	19.3901	3.19286	103	28.5519	
Kent	Mid-American	23-12	0.65714	+6	107	1.67772	108	30.0821	172	83.0057	93	19.7788	3.17774	136	26.436	
Northwestern	Big 10	15-17	0.46875		108	1.66438	114	29.6548	216	81.0489	70	21.309	3.86083	62	32.3902	
Toledo	Mid-American	20-13	0.60606	-5	109	1.65279	96	30.6252	40	90.4492	244	12.8782	3.40118	107	27.9745	
New Mexico St	Western Athletic	23-11	0.67647	-5	110	1.65102	115	29.5908	192	82.2477	84	20.0488	5.02251	226	23.6092	
Washington	Pac 12	16-15	0.51613	+12	111	1.63838	110	29.9837	84	86.4621	161	16.226	4.75981	75	31.0635	
La Salle	Atlantic 10	17-16	0.51515	-6	112	1.63836	97	30.5516	208	81.3745	55	21.8834	3.98928	86	30.1063	
