Team		Record		Δ	Rat		Pwr		Off		Def		HFA	SoS		SSF		EW	EL	
Syracuse	Atlantic Coast	18-14	0.5625	+1	61	1.99651	64	38.1451	55	95.2227	99	19.6783	5.81735	41	36.7706	44	36.7706	0	0	
Tennessee	Southeastern	16-15	0.51613	-3	62	1.98935	63	38.2587	63	94.6516	88	20.3661	3.46833	29	37.9137	29	37.9601	0.4616	0.5384	
Princeton	Ivy League	21-6	0.77778	+5	63	1.98905	76	36.2512	234	86.0555	20	26.9552	1.55966	154	27.4081	154	27.4234	0.7634	0.2366	
UT Arlington	Sun Belt	24-7	0.77419	-1	64	1.98795	70	37.0616	60	94.9965	115	18.8242	4.15885	123	28.8702	126	28.7557	0.8887	0.1113	
California	Pac 12	20-11	0.64516	-15	65	1.98382	65	37.968	222	86.7794	14	27.9483	5.02604	66	34.289	67	34.4441	0.4609	0.5391	
Texas Tech	Big 12	18-14	0.5625	-11	66	1.98297	56	38.8382	138	90.4654	37	25.1288	4.54625	48	36.384	50	36.384	0	0	
Texas A&M	Southeastern	16-14	0.53333	+2	67	1.98278	58	38.7029	172	89.0817	26	26.3806	2.78794	42	36.7429	42	36.8928	0.4093	0.5907	
Utah	Pac 12	20-10	0.66667	+8	68	1.98166	51	39.1153	58	95.1556	81	20.7191	4.70788	87	32.2314	86	32.424	0.539	0.461	
Alabama	Southeastern	17-13	0.56667	-4	69	1.97199	61	38.3231	220	86.9495	13	28.133	3.40415	60	35.6992	60	35.6725	0.6164	0.3836	
Pittsburgh	Atlantic Coast	16-17	0.48485	-3	70	1.96883	67	37.446	83	92.9686	74	21.2337	4.25168	13	39.0795	13	39.0795	0	0	
BYU	West Coast	22-11	0.66667	+3	71	1.94893	69	37.1031	25	99.5569	208	14.3072	2.76237	90	31.7638	90	31.7638	0	0	
Monmouth NJ	Metro Atlantic	27-6	0.81818	-14	72	1.93801	81	35.4856	43	96.5327	185	15.7109	2.19341	148	27.5729	149	27.5729	0	0	
Richmond	Atlantic 10	19-11	0.63333	+11	73	1.89985	79	35.5629	74	93.4292	113	18.8958	2.41615	88	32.1199	88	32.1199	0	0	
Winthrop	Big South	26-6	0.8125	+17	74	1.88768	90	34.4065	50	95.5838	190	15.582	1.06705	254	24.3575	253	24.3575	0	0	
Col Charleston	Colonial	25-9	0.73529	+5	75	1.88493	89	34.4439	243	85.6499	33	25.555	3.44152	119	29.3278	119	29.3278	0	0	
Ohio St	Big 10	17-15	0.53125	-1	76	1.88254	75	36.2821	85	92.9151	92	20.1232	3.47707	54	35.9893	54	35.9893	0	0	
Auburn	Southeastern	18-14	0.5625	-6	77	1.88	82	35.1653	17	100.525	266	11.3973	3.1267	62	35.4114	62	35.4114	0	0	
Bucknell	Patriot League	26-8	0.76471	+11	78	1.87955	77	36.1235	69	93.7453	105	19.1367	2.51208	164	27.0512	165	27.0512	0	0	
UCF	American Athletic	20-10	0.66667	+2	79	1.87773	84	34.8706	250	85.0072	23	26.6276	4.50916	96	31.3235	95	31.4184	0.5226	0.4774	
Colorado	Pac 12	19-13	0.59375	+17	80	1.87387	73	36.394	66	94.0774	108	19.0765	4.50701	80	33.3173	74	33.7329	0.1774	0.8226	
Georgia Tech	Atlantic Coast	17-15	0.53125	-9	81	1.86895	78	35.9753	240	85.7166	19	27.0129	5.10487	58	35.7683	57	35.7683	0	0	
Penn St	Big 10	15-17	0.46875	-4	82	1.86629	74	36.3872	68	93.7499	101	19.3943	2.93797	36	37.1863	36	37.2757	0.3747	0.6253	
Colorado St	Mountain West	21-10	0.67742		83	1.86561	87	34.6861	163	89.3963	66	22.0484	3.37962	106	30.3552	109	30.1708	0.8116	0.1884	
Oklahoma	Big 12	11-20	0.35484	+2	84	1.8525	68	37.1475	72	93.6608	89	20.2412	3.84355	8	39.8492	8	39.8492	0	0	
Boise St	Mountain West	19-10	0.65517		85	1.84798	91	34.2943	82	93.0238	136	18.0282	3.12857	101	30.8793	100	31.008	0.4865	0.5135	
New Mexico St	Western Athletic	25-5	0.83333	+4	86	1.84704	93	34.015	80	93.1068	145	17.6657	3.2806	250	24.583	255	24.2907	0.9539	0.0461	
Akron	Mid-American	24-7	0.77419	-5	87	1.83682	99	33.1843	111	91.7178	131	18.2281	2.06378	152	27.4988	150	27.5448	0.6389	0.3611	
UNC Greensboro	Southern	25-9	0.73529	+5	88	1.83365	111	32.4899	173	89.0108	90	20.2362	2.47406	186	26.3953	186	26.3953	0	0	
