Team		Record		Δ	Rat		Pwr		Off		Def		HFA	SoS		
Xavier	Atlantic 10	21-12	0.63636	-4	72	0.902847	68	10.2359	46	78.631	146	2.49634	5.3095	94	7.45247	
Mississippi	Southeastern	19-14	0.57576	+2	73	0.897467	65	10.6216	98	75.2909	80	6.22093	6.43181	61	9.25541	
SE Missouri St	OH Valley	24-7	0.77419		74	0.897108	73	9.62288	223	68.3707	18	12.1328	3.80086	156	3.5773	
SMU	Western Athletic	21-9	0.7	-8	75	0.878599	75	9.53308	48	78.4959	153	1.91725	5.06496	117	5.9925	
Penn	Ivy League	21-8	0.72414	-10	76	0.873402	81	8.75474	184	70.2968	42	9.35264	3.73957	169	2.83051	
ULL	Sun Belt	25-9	0.73529	+1	77	0.864995	85	8.68238	116	73.9873	94	5.60222	3.60091	161	3.38813	
Marshall	Mid-American	21-9	0.7	+4	78	0.852464	88	8.54671	19	82.1515	234	-2.71918	5.54523	123	5.83712	
Hofstra	America East	24-7	0.77419	-6	79	0.829133	89	8.47019	122	73.8715	96	5.50736	4.08894	203	0.845511	
New Mexico St	Big West	22-10	0.6875	+1	80	0.826466	79	9.00534	142	72.8651	72	7.04153	4.89109	120	5.88588	
Santa Clara	West Coast	19-12	0.6129	+11	81	0.805577	102	7.34682	185	70.2869	59	7.95206	4.65962	102	7.11037	
Tulane	Conference USA	20-11	0.64516	+1	82	0.800103	101	7.3514	175	70.7651	66	7.48183	4.92135	110	6.57377	
Wyoming	Mountain West	19-12	0.6129	+1	83	0.78775	78	9.01031	8	84.5408	267	-4.65427	6.00444	116	5.99752	
Murray St	OH Valley	23-9	0.71875	+7	84	0.787136	90	8.38351	36	79.7076	199	-0.449435	4.24747	163	3.30996	
Michigan	Big 10	15-14	0.51724	+5	85	0.782826	105	7.02954	23	81.3346	242	-3.41297	5.62199	38	10.9275	
New Mexico	Mountain West	18-14	0.5625	-1	86	0.771827	84	8.71941	110	74.5309	100	5.05953	5.11511	105	6.91903	
Colorado St	Mountain West	18-12	0.6	+1	87	0.771712	87	8.64036	165	71.4398	57	8.07275	5.8254	111	6.56573	
Miami OH	Mid-American	15-15	0.5	+5	88	0.767993	74	9.58858	232	67.7199	14	12.7625	4.74494	60	9.34319	
Massachusetts	Atlantic 10	17-16	0.51515	-9	89	0.749402	67	10.335	173	70.9704	32	10.2603	3.65803	68	8.70055	
Colorado	Big 12	19-14	0.57576	-13	90	0.747322	71	9.88971	37	79.5122	165	1.2732	6.01456	85	7.90943	
San Francisco	West Coast	19-9	0.67857	+4	91	0.741499	96	7.54545	121	73.8834	106	4.55712	4.43312	137	4.86422	
Marquette	Conference USA	15-14	0.51724	-6	92	0.740728	82	8.74816	236	67.558	19	12.0869	4.72441	56	9.61822	
Southern Miss	Conference USA	17-12	0.58621	-4	93	0.733548	103	7.3433	182	70.3509	60	7.88893	4.37668	93	7.46952	
CS Northridge	Big Sky	20-10	0.66667		94	0.731294	99	7.47992	59	77.8088	178	0.568489	4.43529	143	4.42823	
Florida St	Atlantic Coast	12-17	0.41379	+5	95	0.723876	109	6.69899	176	70.7396	74	6.84092	3.94458	27	11.521	
Northern Arizona	Big Sky	18-11	0.62069	-9	96	0.705611	93	8.00568	115	74.0605	103	4.84024	4.60624	131	5.30998	
South Florida	Conference USA	17-14	0.54839	-1	97	0.686793	80	8.93279	45	78.6493	166	1.18043	5.00185	95	7.38295	
Louisiana Tech	Sun Belt	21-8	0.72414		98	0.680441	113	6.33845	131	73.3731	116	3.86588	4.0542	187	2.00572	
Akron	Mid-American	17-11	0.60714	+6	99	0.676238	97	7.52717	69	76.9015	163	1.51468	5.3166	112	6.46149	
TCU	Western Athletic	18-14	0.5625	-3	100	0.6691	98	7.51887	2	90.0965	312	-11.6802	4.54081	122	5.84359	
Minnesota	Big 10	12-16	0.42857	+5	101	0.658989	91	8.25409	72	76.7065	148	2.45423	5.618	21	11.7577	
G Washington	Atlantic 10	15-15	0.5	-3	102	0.657321	107	6.735	5	85.6851	297	-8.05635	4.91058	71	8.51961	
